water_year,opening_date,opening_level_ft,opening_storage_TMC,total_inflow_TMC,total_outflow_TMC,closing_date,closing_level_ft,closing_storage_TMC,surplus_flow_TMC,source,source_url
2007-2008,18.07.07,109.85,78.2,345.01,307.6,,94.67,58.15,96.99,"Tamil Nadu Government Agrisnet, VII.10 Mettur Reservoir Opening & Closing Details",https://www.tnagrisnet.tn.gov.in/dashboard/report/07_10.pdf
2008-2009,12.06.08,103.31,69.2,203.84,241.14,,62.23,26.38,60.37,"Tamil Nadu Government Agrisnet, VII.10 Mettur Reservoir Opening & Closing Details",https://www.tnagrisnet.tn.gov.in/dashboard/report/07_10.pdf
2009-2010,28.07.09,94.8,58.31,219.71,192.59,,76.81,38.85,22.06,"Tamil Nadu Government Agrisnet, VII.10 Mettur Reservoir Opening & Closing Details",https://www.tnagrisnet.tn.gov.in/dashboard/report/07_10.pdf
2010-2011,28.07.10,82.49,44.48,193.39,140.97,,109.39,77.55,43.68,"Tamil Nadu Government Agrisnet, VII.10 Mettur Reservoir Opening & Closing Details",https://www.tnagrisnet.tn.gov.in/dashboard/report/07_10.pdf
2011-2012,06.06.11,116.0,87.23,206.78,252.17,,83.5,45.54,0.0,"Tamil Nadu Government Agrisnet, VII.10 Mettur Reservoir Opening & Closing Details",https://www.tnagrisnet.tn.gov.in/dashboard/report/07_10.pdf
2012-2013,17.09.12,84.15,46.21,69.71,108.7,,29.72,7.41,0.0,"Tamil Nadu Government Agrisnet, VII.10 Mettur Reservoir Opening & Closing Details",https://www.tnagrisnet.tn.gov.in/dashboard/report/07_10.pdf
2013-2014,02.08.13,109.33,77.46,235.61,209.56,,51.38,18.69,0.0,"Tamil Nadu Government Agrisnet, VII.10 Mettur Reservoir Opening & Closing Details",https://www.tnagrisnet.tn.gov.in/dashboard/report/07_10.pdf
2014-2015,10.08.14,111.7,80.58,208.1,187.02,,77.12,39.15,0.0,"Tamil Nadu Government Agrisnet, VII.10 Mettur Reservoir Opening & Closing Details",https://www.tnagrisnet.tn.gov.in/dashboard/report/07_10.pdf
2015-2016,09.08.15,96.51,60.41,96.67,144.37,,61.06,25.48,0.0,"Tamil Nadu Government Agrisnet, VII.10 Mettur Reservoir Opening & Closing Details",https://www.tnagrisnet.tn.gov.in/dashboard/report/07_10.pdf
2016-2017,21.08.16,87.68,50.03,62.2,69.3,,41.11,12.66,0.0,"Tamil Nadu Government Agrisnet, VII.10 Mettur Reservoir Opening & Closing Details",https://www.tnagrisnet.tn.gov.in/dashboard/report/07_10.pdf
2017-2018,02.10.17,94.93,58.67,117.05,105.18,,44.22,14.36,0.0,"Tamil Nadu Government Agrisnet, VII.10 Mettur Reservoir Opening & Closing Details",https://www.tnagrisnet.tn.gov.in/dashboard/report/07_10.pdf
2018-2019,19.07.18,112.04,81.34,371.48,348.18,,70.81,33.4,141.85,"Tamil Nadu Government Agrisnet, VII.10 Mettur Reservoir Opening & Closing Details",https://www.tnagrisnet.tn.gov.in/dashboard/report/07_10.pdf
2019-2020,13.08.19,101.22,66.43,258.9,198.13,,107.55,74.97,,"Tamil Nadu Government Agrisnet, VII.10 Mettur Reservoir Opening & Closing Details",https://www.tnagrisnet.tn.gov.in/dashboard/report/07_10.pdf
2020-2021,12.06.20,101.73,67.81,204.28,189.66,,105.96,72.78,,"Tamil Nadu Government Agrisnet, VII.10 Mettur Reservoir Opening & Closing Details",https://www.tnagrisnet.tn.gov.in/dashboard/report/07_10.pdf
